"","week","weekday","datetime","awayteam"
"1","1710","Open","null","KAC"
"2","1710","Open","null","OAK"
"3","1710","Open","null","PHI"
"4","1710","Open","null","BAL"
"5","1711","Open","null","IND"
"6","1711","Open","null","NYJ"
"7","1711","Open","null","SAF"
"8","1711","Open","null","CAR"
